id;name;description;token;price;image;image_content_type
1;cross-platform programming;../fake-data/blob/hipster.txt;94398;38458;../fake-data/blob/hipster.png;image/png
2;Sleek Concrete Car quantify Sleek Concrete Shoes;../fake-data/blob/hipster.txt;28173;37820;../fake-data/blob/hipster.png;image/png
3;Coordinator protocol;../fake-data/blob/hipster.txt;38685;52668;../fake-data/blob/hipster.png;image/png
4;Officer Investment Account;../fake-data/blob/hipster.txt;91526;66073;../fake-data/blob/hipster.png;image/png
5;capability Avon;../fake-data/blob/hipster.txt;1782;21502;../fake-data/blob/hipster.png;image/png
6;Kansas Granite;../fake-data/blob/hipster.txt;88809;29171;../fake-data/blob/hipster.png;image/png
7;invoice;../fake-data/blob/hipster.txt;19209;56007;../fake-data/blob/hipster.png;image/png
8;input;../fake-data/blob/hipster.txt;77271;2428;../fake-data/blob/hipster.png;image/png
9;Mouse;../fake-data/blob/hipster.txt;22331;42031;../fake-data/blob/hipster.png;image/png
10;hack alarm;../fake-data/blob/hipster.txt;67904;88553;../fake-data/blob/hipster.png;image/png
