id;created_at;age;gender;height;weight;wrist;waist;hip;abdomen;neck;waist_hip_ratio;ideal_weight_min;ideal_weight_max;best_weight;bmi;bmi_category;bmr;lbm;pbf;body_fat_category;smm;body_type_number;body_type;frame_size;body_frame_size;visceral_fat_level;workout_location;goal;activity_type;workout_type
1;2020-10-14;61161;FEMALE;38141;61294;1198;41243;49499;9635;71168;97365;78994;92078;46686;62113;OBESE;71691;21582;89240;ATHLETE;43543;10969;MESOMORPH;91513;LARGE;74902;GYM;DECREASEWEIGHT;HIGH;BODYBUILDING_CLASSIC
2;2020-10-13;68923;FEMALE;76424;504;49591;58475;46177;31577;37577;72087;8494;57568;92493;90486;HIGHOBESE;12526;80666;76765;FITNESS;61249;70672;ENDOMORPH;27820;MEDIUM;37298;HOME;DECREASEWEIGHT;LIGHT;CARDIO
3;2020-10-13;19104;FEMALE;56537;32946;49200;58702;91051;81853;58116;45057;11140;2035;75646;99496;NORMAL;6415;55391;93682;AVERAGE;4625;55819;ECTOMORPH;23766;LARGE;59442;HOME;INCREASEWEIGHT;MODERATE;FITNESS
4;2020-10-13;96299;MALE;16356;73788;5779;31896;4008;76812;93838;31564;45079;45445;18999;9473;HIGHOBESE;9038;51890;90351;AVERAGE;34051;35738;MESOMORPH;45966;MEDIUM;29644;HOME;DECREASEWEIGHT;MODERATE;POWERLIFTING
5;2020-10-13;87712;MALE;57610;44011;107;76816;9153;56838;88227;86444;99393;8666;20725;40436;OBESE;22298;56720;89324;ATHLETE;94176;47269;ENDOMORPH;2942;MEDIUM;13584;HOME;INCREASEWEIGHT;LIGHT;FITNESS
6;2020-10-14;51927;MALE;29875;58184;76877;45760;54549;21626;94738;64919;99278;95201;34077;72449;HIGHOBESE;62414;3472;42370;ESSENTIAL;41371;72258;MESOMORPH;47620;SMALL;30219;GYM;DECREASEWEIGHT;MODERATE;BODYBUILDING
7;2020-10-14;70170;MALE;52285;56378;17795;84604;74230;24734;85611;96910;23698;36686;41896;60341;OVERWEIGHT;61673;4206;54061;OBESE;28065;62367;ECTOMORPH;88305;MEDIUM;54182;HOME;DECREASEWEIGHT;EXTRA;CARDIO
8;2020-10-13;96153;MALE;29984;24381;82051;72373;6062;52168;64423;62657;49053;23327;28985;85702;EXTRAOBESE;28523;64753;25434;ATHLETE;4979;73917;ECTOMORPH;45463;MEDIUM;21347;GYM;INCREASEWEIGHT;SEDENTARY;BODYBUILDING_CLASSIC
9;2020-10-14;70450;MALE;96692;54734;79656;35023;80533;66060;28719;84416;83184;12015;9826;77805;EXTRAOBESE;8020;74864;37837;ESSENTIAL;19796;81458;MESOMORPH;50004;LARGE;68545;HOME;DECREASEWEIGHT;LIGHT;CARDIO
10;2020-10-13;84930;FEMALE;63127;58676;19841;48093;78227;19750;48808;13026;64111;218;77305;86412;OBESE;67442;47280;55906;FITNESS;61034;13829;MESOMORPH;81622;MEDIUM;71921;HOME;INCREASEWEIGHT;HIGH;FITNESS
