id;sender;receiver;text;image;image_content_type;voice;voice_content_type;seen
1;scale;Credit Card Account implement;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false
2;alarm Frozen Personal Loan Account;AI structure;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false
3;emulation;frictionless District;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false
4;Awesome;Moroccan Dirham digital empower;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true
5;quantify XML;Incredible;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true
6;Gloves;digital Shirt Marketing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true
7;Accounts tan SDD;Representative;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false
8;Personal Loan Account parsing synergies;Jewelery analyzer Heard Island and McDonald Islands;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true
9;Buckinghamshire SMTP;Buckinghamshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true
10;Intelligent IB;payment Rubber;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false
