id;date;nutrition_score;fitness_score;weight;bmi;lbm;pbf
1;2020-10-13;69351;98182;10231;63756;81869;42034
2;2020-10-13;41604;67113;55042;47894;29328;78467
3;2020-10-13;2010;94342;24113;12823;35323;51871
4;2020-10-13;94580;66084;8924;3425;59976;52778
5;2020-10-13;55617;45575;19529;70074;90021;85933
6;2020-10-13;77446;45255;30052;21816;97298;44705
7;2020-10-13;92419;43611;43925;24591;69774;97679
8;2020-10-14;22307;14497;69864;30551;71140;76534
9;2020-10-13;89955;77715;7243;17963;79376;83902
10;2020-10-14;26190;79375;14099;78653;33724;63338
